€195,000 	 48 Cill O seighin , Ballinrobe, Mayo
€140,000 	 Apartment 219, The Harbour Mill, Westport Quay, Co. Mayo
€60,000 	 ALI'S BARBER SHOP, 12 Main Street, Ballyhaunis, Co. Mayo
€285,000 	 Tooreen, Louisburgh, Mayo
€120,000  -€30,000 on 28th Nov 19 	 Sraheen, Aughagower, Westport, Mayo
€275,000  -€14,000 on 20th Jun 19 	 Shancarrig House, Cahir, Louisburgh, Mayo
€475,000 	 Old Head, Louisburgh, Mayo
€180,000 	 410 Harbour Mill, Westport, Mayo
€179,000 	 15 Riverside, Distillery Road, Westport, Co Mayo
€179,000 	 Townalough, Claremorris, Mayo
€40,000 	 Circa 0.50 acre site at Kilbeg, Claremorris, Mayo
€119,000 	 No 5 Knocksville Manor, Charlestown, Co. Mayo
€75,000 	 Station Road , Swinford, Mayo
€160,000 	 Rathnaconeen, Rehins, Ballina, Mayo
€195,000 	 Faulmore, Blacksod, Belmullet, Mayo
€179,500 	 66 Bruach Na Habhainn, Westport, Mayo
€160,000 	 12 Parklands , Westport, Mayo
€230,000 	 Sheeroe, Westport, Mayo
€125,000 	 35 Hazel Hill Downs, Ballyhaunis, Co. Mayo
€89,000 	 19 Church View, Swinford, Co. Mayo
